,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,ID,WDS_code,hip,Sptype,mv1,mv2,period,ecc,prlx,semi_arcsec,semi_AU,inc,Mdyn,Mph,Msp,M1,M2,origin,bibcode,Ms2,node,T0,omega,sep_arcsec,sep_last,vmag,plx,dist,Ms,Flux_ratio,WDS(code),Ms1
0,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,J03174+0739A,F8,PM*,49.3599,7.6558,1,03174+0739,,F9IV-V,7.44,12.0,,,,,,,,,,,,WDS_THE.csv,,0.41,,,,1.9,2.5,7.394,21.2723,47.009,1.175,1.5,03174+0739,
1,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,J03174+0739A,F8,PM*,49.3599,7.6558,1,03174+0739,,F9IV-V,7.44,12.0,670.49,,,,,,,,,,,COMPOSITE,,0.41,,,,1.9,2.5,7.394,21.2723,47.009,1.175,1.5,03174+0739,
2,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,2,02361+0653,,,5.79,,201.0,,,5.3,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,5.826,138.34,7.229,0.76,,02361+0653,
3,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,2,02361+0653,HIP12114,,,,68.0,0.62,,,16.06,47.17,,,,0.8,0.1,Qier_An+25,2025ApJS..280...61A,,,,,2.1,,5.826,138.34,7.229,0.76,,02361+0653,
4,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,2,02361+0653,HIP12114,K3V           ,5.83,11.66,60.0,0.45,139.27,0.26,,,,,,,,Malkov+12,2012A&A...546A..69M,0.2,,,,,,5.826,138.34,7.229,0.76,0.47,02361+0653,
5,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,2,02361+0653,,,5.9,16.8,201.0,0.42,,5.3,,72.0,,,,,,StelleDoppie,ORB6,0.06,292.0,2005.0,36.0,,,5.826,138.34,7.229,0.76,0.0,02361+0653,
6,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,2,02361+0653,HIP12114,K3V           ,5.83,11.66,61.0,0.67,139.27,0.17,,,,,,,,Malkov+12,2012A&A...546A..69M,0.2,,,,,,5.826,138.34,7.229,0.76,0.47,02361+0653,
7,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,2,02361+0653,,K3V+M4.5V,5.93,16.77,,,,,,,,,,,,WDS_THE.csv,,0.06,,,,1.0,1.0,5.826,138.34,7.229,0.76,0.0,02361+0653,
8,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,2,02361+0653,,,5.79,,61.0,,,0.17,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,5.826,138.34,7.229,0.76,,02361+0653,
9,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,2,02361+0653,,,5.83,14.22,64.5,0.54,,0.26,16.06,59.58,,,,0.8,0.1,COMPOSITE,,0.11,292.0,2005.0,36.0,1.0,,5.826,138.34,7.229,0.76,,02361+0653,
