,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,RA_x,DEC_x,source_id_dr2,source_id_dr3,RA_y,DEC_y,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Semi-Amplitude_σ_RV_total [m/s],HZ Detection Limit [M_Earth],Semi-Amplitude_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_granulation [m/s],σ_p-mode [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,HD Number,GJ Number,HIP Number,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),Distance [pc],HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score,Rank_2ES
0,HD19019,Gaia DR3 6963761190199424,HD19019,HIP14258,-,TIC365294034,-,-,J03038+0608A,G0V,PM*,45.9617,6.1333,45.9617,6.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HD20430,Gaia DR3 10584899657116672,HD20430,HIP15304,-,TIC445925825,-,-,J03174+0739A,F8,PM*,49.3599,7.6558,49.3599,7.6558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HD16160,Gaia DR3 19316224572460416,HD16160,HIP12114,GJ105A,TIC278962915,-,-,J02361+0653A,K3V,PM*,39.0204,6.8868,39.0204,6.8868,1.9316224572460416e+16,1.9316224572460416e+16,39.02838450657828,6.893339107578528,5.787130809626579,5.498319625854492,6.0191650390625,4.820521831512451,1.198643207550049,138.3400038096467,4819.47900390625,0.8,0.2870424,0.79312927,0.772908647985593,277.45369899728,0.1156252251440093,1.016875218414186,0.0233776205982517,0.2055963395724718,0.1230870521260554,0.5867281147796168,0.3492978278237249,0.6087859991812798,1.603459718691285,,-4.95309894397,1.471823568333007,HD_number_match,,HD 16160,GJ 105,12114.0,PM*,GAIA,K3V,K3V,7.228567098899183,0.0,0.0,0.0,0.0,0.0,57.0
3,HD15095,Gaia DR3 24340923991956352,HD15095,-,-,TIC381002396,-,-,-,G0,PM*,36.5462,10.6378,36.5462,10.6378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HD15942,Gaia DR3 26147868272907648,HD15942,HIP11941,-,TIC408819542,-,-,-,G0,PM*,38.5152,12.1809,38.5152,12.1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HD18144,Gaia DR3 34959010860789632,HD18144,HIP13601,-,TIC257918985,-,-,-,G8V,PM*,43.8225,16.3092,43.8225,16.3092,3.4959010860594176e+16,3.495901086078963e+16,43.82346926655607,16.30898318370562,7.22282075881958,7.22282075881958,7.588134765625,6.688943386077881,0.8991913795471191,37.32814442038956,5469.438,0.94170386,0.6841683,0.8998215,1.140518418390385,458.3946520620154,0.150535551949017,1.744831132032282,0.057931844240207,0.6714778273812165,0.3048437797144879,0.7223533275704799,0.5247278926915414,0.7921347445330531,1.292543753261998,4.4774,-4.84578647904,2.2181680462872,HD_number_match,G,HD 18144,,13601.0,PM*,GAIA,G8V,G8V,26.78943771589609,0.0,0.0,0.0,0.0,0.0,38.0
6,HD25849,Gaia DR3 39026791568954112,HD25849,HIP19157,-,TIC311151363,-,-,-,F2,PM*,61.5954,14.4022,61.5954,14.4022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HD21962,Gaia DR3 42768532716776704,HD21962,HIP16538,-,TIC435290852,-,-,J03330+1636A,F5,PM*,53.2397,16.5984,53.2397,16.5984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,J03545+1637A,G7V,PM*,58.6168,16.6161,58.6168,16.6161,4.349929563296115e+16,4.349929563296115e+16,58.61779865777009,16.61530897329554,6.654032230377197,6.654032230377197,7.010673046112061,6.125180721282959,0.8854923248291016,48.84903420928158,5431.7656,0.96380365,0.6760852,0.88391596,1.136771162081021,450.8774872272399,0.1423916060810876,1.666944694640837,0.043806698472877,0.5128346088568503,0.2305225525524096,0.7040370975798035,0.5143560823077896,0.7493026783603154,1.395582901479128,4.4467,-4.88098848216,1.938916558710608,HD_number_match,G,HD 24496,GJ 3255,18267.0,PM*,GAIA,G7V,G7V,20.47123379585659,0.0,0.0,0.0,0.0,0.0,118.0
9,HD24040,Gaia DR3 43802039287826432,HD24040,HIP17960,-,TIC456863621,-,-,-,G1,PM*,57.5957,17.4764,57.5957,17.4764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,HD27149,Gaia DR3 47620265212420096,HD27149,HIP20056,-,TIC17150156,-,-,-,G4V+G8V,RS*,64.5076,18.2568,64.5076,18.2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,HD27406,Gaia DR3 48203487411427456,HD27406,HIP20237,-,TIC17232188,-,-,-,F9V+,BY*,65.054,19.2335,65.054,19.2335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-,39Tau,"J04053+2201Aa,Ab",G5V,**,61.3344,22.0089,61.3344,22.0089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,J03183+1810AB,G0,**,49.5833,18.1716,49.5833,18.1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HD24206,Gaia DR3 64085383120724864,HD24206,HIP18097,-,TIC440702883,-,-,-,G7V,PM*,58.0233,22.6716,58.0233,22.6716,6.408538312072486e+16,6.408538312072486e+16,58.02431902278248,22.67012330366188,7.400138378143311,7.400138378143311,7.744446754455566,6.883975028991699,0.8604717254638672,33.56092341260861,5566.236,0.9905537,0.71906066,0.8915778,1.161314478604101,459.2286888758235,0.1495387149292081,1.793798151436671,0.0656522027942013,0.7875338507873016,0.3454680096870211,0.6978753172415014,0.530330360179387,0.7868866545070631,1.397655976967302,4.5063,,,Not found,G,HD 24206,,18097.0,PM*,GAIA,G7V,G7V,29.79655797028239,0.0,0.0,0.0,0.0,0.0,83.0
15,HD23965,Gaia DR3 64115585330656000,HD23965,HIP17928,-,TIC440695415,-,-,-,F7,PM*,57.5144,22.5916,57.5144,22.5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HD24213,Gaia DR3 66892264508548864,HD24213,HIP18106,-,TIC385590511,-,-,-,G0,PM*,58.0475,25.1631,58.0475,25.1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,54.296,25.9911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,HD15029,Gaia DR3 72806949867680640,HD15029,HIP11309,-,TIC58898300,-,-,-,F5,PM*,36.3914,11.9712,36.3914,11.9712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,38.2256,15.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,41.8643,19.3718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
